Hero-Heading ,Shop Our Back-to-School Essentials 
Hero-Btn ,Start Now 
Hero-Btn ,https://www.seagate.com/products/back-to-school/?utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
Hero-Btn ,404 Not Found Page | Seagate US
Prod_1-ImgAlt ,One Touch With Password 
Prod_1-ImgBtn ,https://www.seagate.com/products/external-hard-drives/one-touch-external-drives/?sku=STKY1000400&store=1&utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
Prod_1-ImgBtn ,STKY1000400
,
Prod_1-Name ,One Touch With Password 
Prod_1-Price ,Starting from $69.99 
Prod_1-TxtBtn ,Click to learn more about One Touch 
Prod_1-TxtBtn ,Learn More 
Prod_1-TxtBtn ,https://www.seagate.com/products/external-hard-drives/one-touch-external-drives/?sku=STKY1000400&store=1&utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
,STKY1000400
,$69.99
,In Stock
Prod_2-ImgAlt ,LaCie® Rugged Mini 
Prod_2-ImgBtn ,https://www.seagate.com/products/creative-pro/lacie-rugged-mini/?sku=LAC301558&store=1&utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
,LAC301558
Prod_2-Name ,LaCie® Rugged Mini 
Prod_2-Price ,Starting from $79.99 
Prod_2-TxtBtn ,Click to learn more about LaCie Rugged Mini drives 
Prod_2-TxtBtn ,Learn More 
Prod_2-TxtBtn ,https://www.seagate.com/products/creative-pro/lacie-rugged-mini/?sku=LAC301558&store=1&utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
,LAC301558
,$79.99
,In Stock
Prod_3-ImgAlt ,One Touch SSD 
Prod_3-ImgBtn ,https://www.seagate.com/products/external-hard-drives/one-touch-ssd/?sku=STKG1000400&store=1&utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
,STKG1000400
Prod_3-Name ,One Touch SSD 
Prod_3-Price ,Starting from $109.99 
Prod_3-TxtBtn ,Click to learn more about One Touch SSDs 
Prod_3-TxtBtn ,Learn More 
Prod_3-TxtBtn ,https://www.seagate.com/products/external-hard-drives/one-touch-ssd/?sku=STKG1000400&store=1&utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
,STKG1000400
,$109.99
,In Stock
,
utm ,utm_medium=email&utm_source=promotion&utm_campaign=2024-back-to-school 
